,flights,hotel,grocery,gas,dining,other,flat_cash_back,rotating,name,req_credit,application_link,card_type,annual_fee
729,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Tulsa Alumni Rewards Visa® Card,,,Visa,0.0
730,0.0,0.0,0.0,0.0,0.0,0.0,,False,United Club℠ Infinite Card,"Good, Excellent",https://clicks.surehits.com/ListingDisplay/Click/?I=YzBjNTE1NjAtMmNiYi00M2E0LWJmNmYtNGQzNGQxMWIxNDlj&U=aHR0cHM6Ly9jbGljay5saW5rc3luZXJneS5jb20vbGluaz9pZD1LQjRxb1NUS2tDOCZvZmZlcmlkPTc1NzgxOC4zMTQ5OSZ0eXBlPTE1Jm11cmw9aHR0cHMlM2ElMmYlMmZ3d3cudGhlZXhwbG9yZXJjYXJkLmNvbSUyZmNvbnN1bWVyLWNhcmRzJTJmY2x1YiUzZkNFTEwlM2RIOFgmdTE9JGNsaWNra2V5JA%3d%3d&SI=ZWJlY2I2NjAtMjIxYS00ODVhLWFkYWUtYWU5MjhiZDhhYTMx&SDT=NjM3MzA5NDM2NTE5NjQyOTIz&T=MQ%3d%3d&BM=MQ%3d%3d&ZZ=1595346852,Unknown,0.0
731,0.0,0.0,0.0,0.0,0.0,0.0,,False,United℠ Explorer Card,"Excellent, Good",https://clicks.surehits.com/ListingDisplay/Click/?I=ZjZmYmExZWMtMDA0ZS00MDhmLTg4ODktZmIwMTYzMjZiMjYz&U=aHR0cHM6Ly9jbGljay5saW5rc3luZXJneS5jb20vbGluaz9pZD1LQjRxb1NUS2tDOCZvZmZlcmlkPTc1NzgxOC4zMTQ5OCZ0eXBlPTE1Jm11cmw9aHR0cHMlM2ElMmYlMmZ3d3cudGhlZXhwbG9yZXJjYXJkLmNvbSUyZmNvbnN1bWVyLWNhcmRzJTJmZXhwbG9yZXIlM2ZjZWxsJTNkaDh4JnUxPSRjbGlja2tleSQ%3d&SI=ZDNlZDY3NGQtOTM4Ny00MTkwLTk4NGMtNjMwYjBiYjljMWIy&SDT=NjM3MzA5NDM2NTI0Nzc3NTE3&T=MQ%3d%3d&BM=MQ%3d%3d&ZZ=1595346852,Unknown,0.0
732,1.0,1.0,1.0,1.0,1.0,1.0,False,False,U.S. Pride® BankAmericard Cash Rewards™ Visa® Card,,,Visa,0.0
733,0.0,0.0,0.0,0.0,0.0,0.0,False,False,UBS Visa Infinite Credit Card,,,Visa,0.0
734,0.0,0.0,0.0,0.0,0.0,0.0,False,False,UBS Visa Signature® Credit Card,,,Visa,0.0
735,1.0,1.0,1.2,1.2,1.0,1.2,False,False,UMB Direct Cash® Visa® Signature Credit Card,,,Visa,0.0
736,1.0,1.0,3.0,3.0,1.0,1.0,False,False,UMB Simply Rewards Visa® Platinum Card,,,Visa,0.0
737,1.0,1.0,1.0,2.0,1.0,1.0,False,False,UMSL Alumni Rewards Visa® Card,,,Visa,0.0
738,1.0,1.0,1.0,2.0,1.0,1.0,False,False,UNT North Texas Alumni Credit Card with Rewards,,,Unknown,0.0
739,0.0,0.0,0.0,0.0,0.0,0.0,False,False,US Appliance Credit Card,,,Unknown,0.0
740,1.0,1.0,1.0,2.0,1.0,1.0,False,False,USA Volleyball Visa Signature® Credit Card,,,Visa,0.0
741,1.0,1.0,1.0,2.0,1.0,1.0,False,False,USAA Rewards™ Visa Signature® Card,,,Visa,0.0
742,1.0,1.0,1.0,1.0,1.0,5.0,False,False,Uber Visa Card,,,Visa,0.0
743,1.0,1.0,1.0,2.0,1.0,5.0,False,False,Union Bank Business Rewards Visa® Credit Card,,,Visa,0.0
744,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Union Bank Business Secured Visa® Credit Card,,,Visa,0.0
745,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Union Bank Business Visa® Credit Card,,,Visa,0.0
746,1.5,1.5,1.5,1.5,1.5,1.5,True,False,Union Bank Cashback Rewards Visa® Card,,,Visa,0.0
747,1.0,1.0,5.0,5.0,1.0,5.0,False,False,Union Bank Rewards Visa® Card,,,Visa,0.0
748,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Union Bank Secured Visa® Credit Card,,,Visa,0.0
749,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Union Bank Travel Rewards Visa® Card,,,Visa,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Union Bank Visa® Credit Card,,,Visa,0.0
751,1.0,1.0,1.0,1.0,1.0,1.0,False,False,United Nations Federal Credit Union Azure Credit Card,,,Unknown,0.0
752,1.0,1.0,2.0,1.0,1.0,1.0,False,False,United Nations Federal Credit Union Elite Credit Card,,,Unknown,0.0
753,1.0,1.0,1.0,2.0,1.0,1.0,False,False,University of Montana Visa® Rewards Credit Card,,,Visa,0.0
754,1.0,1.0,1.2,1.2,1.0,1.2,False,False,Upromise MasterCard®,,,MasterCard,0.0
755,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Valparaiso Alumni Visa® Rewards Card,,,Visa,0.0
756,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Value City Furniture® Credit Card,,,Unknown,0.0
757,0.0,0.0,0.0,0.0,0.0,0.0,,False,Victoria's Secret Angel Credit Card,,,Unknown,0.0
758,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Virgin Atlantic World Elite MasterCard®,,,MasterCard,0.0
759,0.0,0.0,0.0,0.0,0.0,0.0,,False,Washington Nationals® BankAmericard Cash Rewards MasterCard®,,,MasterCard,0.0
760,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Washington Redskins NFL Extra Points Visa Signature Card,,,Visa,0.0
761,1.0,1.0,2.0,3.0,1.0,1.0,False,False,Webster Bank Cash Rewards American Express® Card,,,American Express,0.0
762,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Webster Bank Premier Rewards American Express® Card,,,American Express,0.0
763,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Webster Bank Secured Visa® Card,,,Visa,0.0
764,1.5,1.5,1.5,1.5,1.5,1.5,True,False,Webster Bank Visa Signature® College Real Rewards Card,,,Visa,0.0
765,1.5,1.5,1.5,1.5,1.5,1.5,True,False,Webster Bank Visa Signature® Real Rewards Card,,,Visa,0.0
766,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Webster Bank Visa® Business Cash Card,,,Visa,0.0
767,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Webster Bank Visa® Business Platinum Card,,,Visa,0.0
768,1.5,1.5,1.5,1.5,1.5,1.5,True,False,Webster Bank Visa® Business Real Rewards Card,,,Visa,0.0
769,1.5,1.5,1.5,1.5,1.5,1.5,True,False,Webster Bank Visa® Business Rewards PLUS Card,,,Visa,0.0
