name,flights,hotel,grocery,gas,dining,other,rotating,flat_cash_back,req_credit,annual_fee,card_type,application_link,review_link,annual_bonus,image_url,converted_name
Citi® / AAdvantage® Executive World Elite™ Mastercard®,2.0,1.0,1.0,1.0,1.0,1.0,FALSE,FALSE,720,450.0,MasterCard,https://www.nerdwallet.com/redirect/credit-cards/4225?clickHeader_category=Credit%20Card&clickHeader_productId=4225&name=Citi-AAdvantage-Executive-World-Elite-MasterCard&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Airline%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=c25bd92a-2b9b-4690-a286-e0b7fa8ab7a4,https://www.nerdwallet.com/reviews/credit-cards/citi-aadvantage-executive,0.0,//www.nerdwallet.com/c1/images/4225_260ced30dc8cb5f480ae3db133ce3fa5_147x225_L.jpg,Citi--AAdvantage-Executive-World-Elite-Mastercard
British Airways Visa Signature® Card,3.0,2.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,95.0,Visa,https://www.nerdwallet.com/redirect/credit-cards/3095?clickHeader_category=Credit%20Card&clickHeader_productId=3095&name=Chase-British-Airways&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Airline%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=02e6fdb1-5028-4e0f-81f1-1e6e8475c1b9,https://www.nerdwallet.com/reviews/credit-cards/british-airways-card,0.0,//www.nerdwallet.com/c1/images/3095_f4b4a674dfce4250a691728191297dce_138x225_L.jpg,British-Airways-Visa-Signature-Card
Delta SkyMiles® Blue American Express Card,2.0,1.0,1.0,1.0,2.0,1.0,FALSE,FALSE,690,0.0,American Express,,https://www.nerdwallet.com/reviews/credit-cards/blue-delta-skymiles,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Delta-SkyMiles-Blue-American-Express-Card
Delta SkyMiles® Gold American Express Card,2.0,1.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,99.0,American Express,,https://www.nerdwallet.com/reviews/credit-cards/american-express-gold-delta-skymiles,100.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Delta-SkyMiles-Gold-American-Express-Card
Delta SkyMiles® Platinum American Express Card,2.0,3.0,1.0,1.0,2.0,1.0,FALSE,FALSE,690,250.0,American Express,,https://www.nerdwallet.com/reviews/credit-cards/american-express-platinum-delta-skymiles,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Delta-SkyMiles-Platinum-American-Express-Card
Delta SkyMiles® Reserve American Express Card,2.0,1.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,550.0,American Express,,https://www.nerdwallet.com/reviews/credit-cards/delta-reserve,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Delta-SkyMiles-Reserve-American-Express-Card
Frontier Airlines World Mastercard®,5.0,1.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,79.0,MasterCard,,https://www.nerdwallet.com/reviews/credit-cards/frontier-airlines-card,0.0,//www.nerdwallet.com/c1/images/65563_6c8c47a91a2e33a1eabbb4970572be4b_153x225_L.jpg,Frontier-Airlines-World-Mastercard
JetBlue Card,3.0,1.0,2.0,1.0,2.0,1.0,FALSE,FALSE,690,0.0,Unknown,,https://www.nerdwallet.com/reviews/credit-cards/jetblue-card,0.0,//www.nerdwallet.com/c1/images/64160_db7f7012de13a802f0fa99454982adbb_153x225_L.jpg,JetBlue-Card
JetBlue Plus Card,3.0,1.0,2.0,1.0,2.0,1.0,FALSE,FALSE,720,99.0,Unknown,,https://www.nerdwallet.com/blog/credit-cards/jetblue-plus-card/,0.0,//www.nerdwallet.com/c1/images/10106_864895717c5888d3fb1428232d5de39d_141x225_L.jpg,JetBlue-Plus-Card
Southwest Rapid Rewards® Plus Credit Card,2.0,2.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,69.0,Unknown,https://www.nerdwallet.com/redirect/credit-cards/3050?clickHeader_category=Credit%20Card&clickHeader_productId=3050&name=Chase-Southwest-Airlines-Rapid-Rewards-Plus&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Learn-Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Airline%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=7f7193f7-dfd8-40dc-af47-a9133eda7c76,https://www.nerdwallet.com/reviews/credit-cards/southwest-rapid-rewards-plus,0.0,//www.nerdwallet.com/c1/images/3050_9d6f180622551bc5702218b1045148b1_138x225_L.jpg,Southwest-Rapid-Rewards-Plus-Credit-Card
Southwest Rapid Rewards® Premier Credit Card,2.0,2.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,99.0,Unknown,https://www.nerdwallet.com/redirect/credit-cards/3055?clickHeader_category=Credit%20Card&clickHeader_productId=3055&name=Chase-Southwest-Airlines-Rapid-Rewards&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=undefined&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=e21cc169-23a0-44df-b0d9-61ba313e062a,https://www.nerdwallet.com/reviews/credit-cards/southwest-rapid-rewards-premier,0.0,//www.nerdwallet.com/c1/images/3055_1d978e5983c5a8da8e792582c98a9105_138x225_L.jpg,Southwest-Rapid-Rewards-Premier-Credit-Card
Southwest Rapid Rewards® Priority Credit Card,2.0,2.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,149.0,Unknown,https://www.nerdwallet.com/redirect/credit-cards/65538?clickHeader_category=Credit%20Card&clickHeader_productId=65538&name=Chase-Southwest-Rapid-Rewards-Priority&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Airline%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=f47c9db3-e77e-498b-b4d7-c4cd5d432f4a,https://www.nerdwallet.com/reviews/credit-cards/southwest-rapid-rewards-priority,75.0,//www.nerdwallet.com/c1/images/65538_beac8f965d4bc1895fe215b829b7d927_138x225_L.jpg,Southwest-Rapid-Rewards-Priority-Credit-Card
United℠ Explorer Card,2.0,2.0,1.0,1.0,2.0,1.0,FALSE,FALSE,690,95.0,Unknown,https://www.nerdwallet.com/redirect/credit-cards/3049?clickHeader_category=Credit%20Card&clickHeader_productId=3049&name=Chase-United-Airlines-Mileage-Plus&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Airline%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=5f63c20b-316e-4199-9fd0-acb89254006b,https://www.nerdwallet.com/reviews/credit-cards/united-explorer,240.0,//www.nerdwallet.com/c1/images/3049_6b6b3176866c6f71e18caa03834e7648_138x225_L.jpg,United-Explorer-Card
United Club℠ Infinite Card,2.0,2.0,1.0,1.0,2.0,1.0,FALSE,FALSE,690,525.0,Unknown,https://www.nerdwallet.com/redirect/credit-cards/3100?clickHeader_category=Credit%20Card&clickHeader_productId=3100&name=Chase-United-Airlines-Mileage-Plus-Club-Visa&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Airline%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=3a2867d3-8cf9-448d-b86a-137c1b5596f1,https://www.nerdwallet.com/reviews/credit-cards/united-club,420.0,//www.nerdwallet.com/c1/images/3100_1f3414403320a65dfade4c71cd787ba0_138x225_L.jpg,United-Club-Infinite-Card
United℠ TravelBank Card,2.0,2.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,0.0,Unknown,,https://www.nerdwallet.com/reviews/credit-cards/united-travelbank,0.0,//www.nerdwallet.com/c1/images/65399_c67cde06f2284131d54852f6d142e420_157x225_L.jpg,United-TravelBank-Card
